Tiempo_s,Error_Pixeles
10.600,1.41
11.900,1.41
12.200,1.41
12.500,1.41
12.900,1.41
13.200,1.41
13.300,1.41
13.300,1.41
13.600,1.41
13.900,1.41
14.200,1.41
14.400,1.41
14.500,1.41
14.700,1.41
14.900,1.41
15.000,1.41
15.300,1.41
15.500,1.41
15.700,1.41
15.900,1.41
16.000,1.41
16.200,1.41
16.500,1.41
16.900,3.16
17.100,39.01
17.300,52.01
17.500,75.01
17.600,86.01
17.900,98.01
18.100,113.00
18.300,130.00
18.900,144.00
19.200,120.00
19.400,104.00
19.700,87.00
20.000,67.01
20.400,69.03
20.600,59.68
20.900,68.68
21.000,67.60
21.100,54.67
21.300,51.66
21.500,46.86
21.800,49.98
22.300,33.14
22.500,61.85
22.800,58.05
22.900,67.27
23.300,80.62
23.500,90.97
23.700,85.73
24.100,82.49
24.200,72.07
24.500,76.55
24.700,59.91
24.900,44.42
25.400,50.16
25.700,49.65
25.800,51.97
26.000,72.35
26.300,86.98
26.900,84.22
27.000,90.82
27.300,85.70
27.600,58.19
27.900,82.23
28.000,112.02
28.200,106.04
28.400,66.76
28.500,77.88
28.800,77.62
29.500,85.62
29.900,75.00
30.100,68.88
30.300,47.42
30.500,43.05
30.700,44.05
30.900,54.41
31.100,71.06
31.300,82.49
31.600,80.75
32.000,94.92
32.200,81.71
32.300,71.84
32.500,68.25
32.600,61.00
32.900,50.99
33.400,37.95
33.600,45.28
33.800,49.82
34.100,59.03
34.200,62.63
34.300,53.54
34.500,47.01
34.700,36.77
35.000,36.72
35.500,7.07
35.800,9.22
36.000,41.40
36.200,53.91
36.400,58.69
36.600,70.80
36.900,91.71
37.200,100.90
37.400,111.61
37.700,125.94
38.100,120.00
38.700,103.95
38.900,63.95
39.200,71.06
39.400,68.96
39.800,36.07
40.000,87.85
40.300,67.98
40.700,51.31
40.800,35.23
41.000,31.62
41.400,30.59
41.600,36.22
41.800,27.78
42.000,42.95
42.200,40.16
42.500,26.68
42.900,29.07
43.100,48.33
43.400,55.00
43.700,95.46
43.900,116.52
44.100,118.85
44.400,128.22
44.900,129.83
45.200,119.02
45.600,93.54
45.900,70.68
46.200,38.33
46.400,34.23
46.700,34.44
46.900,34.01
47.200,41.48
47.400,58.18
47.900,50.33
48.100,62.59
48.300,72.56
48.500,75.03
48.800,85.38
49.200,117.99
49.600,134.63
50.000,152.07
50.300,151.29
50.500,123.71
50.700,110.16
51.000,103.37
51.400,125.90
51.900,131.10
52.200,121.59
52.700,97.42
52.800,91.22
53.100,73.35
53.300,26.91
53.500,3.16
53.900,21.19
54.100,34.41
54.200,34.37
54.500,49.09
54.900,70.29
55.100,41.88
55.400,18.25
55.700,20.00
56.100,17.12
56.500,41.98
56.700,53.24
57.000,44.94
57.100,54.04
57.300,58.00
57.700,53.60
58.100,48.04
58.300,47.07
58.500,47.68
58.800,48.09
59.100,50.49
59.200,43.05
59.700,34.93
60.000,29.73
60.200,48.01
60.400,58.46
60.600,81.15
60.800,97.08
61.100,114.53
61.600,121.08
61.800,117.83
62.000,96.25
62.300,85.91
62.700,70.23
63.100,69.77
63.500,71.51
63.800,73.36
64.000,47.54
64.200,45.22
64.300,40.31
64.600,39.12
65.000,35.36
65.400,70.34
65.500,54.38
65.600,70.80
65.800,79.63
66.100,101.61
66.300,95.02
66.600,87.32
66.800,102.96
67.000,90.44
67.300,93.09
67.600,101.49
68.000,106.07
68.100,84.53
68.300,83.53
68.600,73.57
68.800,97.00
69.100,116.50
69.600,102.46
69.900,114.49
70.100,84.06
70.400,89.05
70.500,84.50
70.800,80.13
71.000,72.45
71.300,77.20
71.500,82.57
71.700,76.84
72.000,59.67
72.600,93.01
72.800,94.64
73.000,104.81
73.300,105.19
73.600,133.93
73.800,163.78
74.300,152.98
74.600,139.67
74.800,122.54
75.000,107.34
75.200,88.77
75.400,91.55
75.900,74.73
76.200,66.91
76.300,95.01
76.700,97.00
77.000,93.26
77.100,101.64
77.300,95.90
77.500,80.75
77.900,74.06
78.100,86.02
78.300,59.91
78.400,48.38
78.600,37.16
78.800,31.78
79.000,27.02
79.200,25.94
79.500,24.84
79.700,33.54
79.900,47.17
80.200,53.00
80.300,79.06
80.600,89.01
81.100,88.01
81.300,52.17
81.500,13.15
81.700,9.43
82.100,34.37
82.500,52.24
82.700,60.01
82.900,54.08
83.000,49.37
83.200,52.77
83.500,56.57
83.700,50.49
83.900,46.27
84.100,49.37
84.300,49.65
84.500,43.74
84.700,43.93
85.000,45.40
85.300,39.32
85.700,19.80
85.800,32.25
86.100,45.28
86.400,49.50
86.700,83.23
86.900,107.19
87.100,113.53
87.400,130.25
87.900,138.57
88.200,135.56
88.700,104.92
89.100,80.31
89.400,59.23
89.600,67.60
89.800,71.06
89.900,70.03
90.100,70.71
90.500,82.28
90.900,70.52
91.100,71.20
91.400,61.27
91.500,65.15
91.700,80.65
92.300,87.32
92.400,107.30
92.700,114.28
93.100,100.13
93.400,97.01
93.600,76.32
93.800,75.95
94.200,83.43
94.500,58.60
94.700,85.62
94.900,103.58
95.200,114.53
95.300,103.00
95.500,96.02
95.700,97.87
96.000,101.51
96.200,76.32
96.300,55.00
96.500,52.81
96.900,44.18
97.200,32.45
97.400,26.57
97.600,21.02
97.800,33.24
97.900,47.30
98.200,62.20
98.700,78.26
98.900,66.76
99.100,57.25
99.300,42.80
99.600,30.23
99.800,46.87
100.100,47.07
100.300,46.69
100.500,52.95
100.700,52.20
101.000,45.35
101.300,39.22
101.700,37.70
102.000,11.66
102.100,17.69
102.400,33.29
102.600,61.29
102.800,65.39
103.100,90.87
103.400,110.02
103.700,122.00
104.000,124.23
104.200,111.66
104.400,100.09
104.700,72.47
105.200,54.92
105.300,68.60
105.600,67.23
105.900,71.70
106.100,70.01
106.300,40.85
106.500,28.86
106.800,11.40
107.200,27.20
107.500,28.32
107.700,61.29
107.900,65.31
108.100,82.28
108.300,97.27
108.500,101.00
108.700,105.04
108.900,113.36
109.200,114.14
109.500,114.23
109.800,102.46
