Tiempo_s,Tension_1_N,Tension_2_N,Tension_3_N,Tension_4_N
0.214,0.00,0.00,0.00,0.00
0.243,149.62,150.96,170.78,168.34
0.301,149.26,151.13,168.30,165.86
0.348,149.59,151.31,166.62,163.58
0.388,150.66,151.59,169.22,164.27
0.440,150.66,151.59,169.22,164.27
0.492,151.82,151.73,168.74,163.18
0.543,151.82,151.73,168.74,162.62
0.589,152.58,151.86,168.18,160.94
0.639,150.92,151.91,171.84,164.77
0.695,151.06,151.96,171.53,164.29
0.738,151.45,152.05,170.41,163.10
0.788,151.68,152.14,168.99,161.72
0.841,150.20,152.28,170.63,163.70
0.887,150.34,152.46,167.27,160.73
0.945,150.41,152.54,165.61,159.39
1.000,150.48,152.59,164.88,158.77
1.042,150.48,152.63,164.20,158.19
1.090,150.51,152.67,163.61,157.66
1.140,150.57,152.71,167.18,160.38
1.198,150.64,152.84,165.92,159.18
1.252,150.67,152.88,165.47,158.82
1.288,150.70,152.92,165.06,158.49
1.343,150.70,152.92,165.06,158.49
1.386,150.73,152.96,164.71,158.22
1.438,150.81,153.07,168.76,161.23
1.490,150.87,153.11,168.74,161.19
1.544,150.95,153.25,169.03,161.33
1.611,151.01,153.32,169.32,161.60
1.643,151.09,153.43,173.29,164.68
1.698,151.11,153.46,173.34,164.76
1.737,151.19,153.57,173.39,164.85
1.800,151.27,153.64,173.02,164.66
1.835,151.35,153.74,171.99,163.93
1.892,151.40,153.81,174.92,166.10
1.946,151.48,153.96,172.91,164.38
1.993,151.54,153.99,172.31,163.87
2.041,151.60,154.10,170.67,162.39
2.107,151.66,154.18,169.72,161.46
2.137,151.74,154.29,172.90,163.67
2.187,151.80,154.37,171.80,162.63
2.235,151.89,154.48,170.72,161.67
2.292,151.95,154.56,170.14,161.11
2.339,151.98,154.59,173.89,163.89
2.393,152.06,154.71,172.86,162.98
2.438,152.09,154.74,172.44,162.63
2.503,152.12,154.78,172.03,162.27
2.540,152.15,154.82,171.61,161.90
2.590,152.21,154.89,171.19,161.51
2.643,152.24,154.93,174.60,163.85
2.692,152.32,155.04,173.60,162.87
2.736,152.40,155.15,170.84,160.43
2.795,152.50,155.29,167.65,157.75
2.846,152.53,155.32,133.62,135.34
2.892,152.62,155.45,133.71,133.70
2.939,152.64,155.48,135.49,134.21
2.996,152.68,155.50,137.28,134.88
3.040,152.69,155.55,140.84,136.50
3.105,152.70,155.57,142.56,137.45
3.137,152.73,155.63,147.78,141.22
3.197,152.74,155.64,149.32,142.48
3.252,152.75,155.65,150.81,143.83
3.293,152.75,155.68,153.83,146.57
3.340,152.75,155.71,157.69,152.22
3.387,152.74,155.72,161.91,158.88
3.439,152.71,155.72,164.40,163.05
3.494,152.68,155.71,164.51,164.72
3.539,152.65,155.70,165.93,166.75
3.596,152.65,155.70,166.32,167.33
3.643,152.61,155.68,166.05,167.65
3.703,152.58,155.66,166.43,168.71
3.735,152.57,155.65,166.63,169.30
3.787,152.56,155.65,166.70,169.52
3.849,152.54,155.63,166.80,169.89
3.891,152.52,155.62,166.33,169.41
3.942,152.50,155.60,166.40,169.65
3.988,152.49,155.59,166.53,169.92
4.036,152.47,155.58,166.69,170.17
4.090,152.46,155.56,166.87,170.36
4.140,152.44,155.54,167.16,170.53
4.193,152.41,155.50,166.77,169.58
4.236,152.41,155.50,166.77,169.58
4.297,152.40,155.48,166.86,169.40
4.344,152.37,155.44,165.92,167.93
4.397,152.36,155.43,165.91,167.71
4.438,152.35,155.40,165.87,167.22
4.485,152.33,155.38,165.81,166.70
4.538,152.32,155.35,165.75,166.16
4.598,152.30,155.32,141.60,164.06
4.635,152.28,155.29,143.22,162.92
4.697,152.26,155.25,147.13,161.38
4.741,152.24,155.21,150.48,160.69
4.786,152.22,155.19,151.94,160.59
4.839,152.19,171.46,125.69,162.31
4.894,152.16,170.12,129.27,162.28
4.936,152.11,165.90,137.43,162.44
4.985,152.07,163.40,142.32,163.18
5.037,152.02,161.30,146.57,164.27
5.087,152.00,173.20,130.98,167.01
5.135,151.95,180.59,121.84,170.25
5.195,151.90,175.96,128.13,171.00
5.238,151.85,171.66,134.14,171.94
5.312,151.79,168.16,139.37,172.96
5.339,151.76,166.56,141.77,173.49
5.411,151.67,187.43,115.23,179.43
5.438,151.67,187.43,115.23,179.43
5.490,151.58,179.10,124.85,179.74
5.540,151.51,174.33,130.76,179.88
5.588,151.45,170.42,135.85,179.98
5.637,151.38,193.93,106.42,184.71
5.691,151.31,187.35,113.22,184.22
5.736,151.24,181.29,119.87,183.77
5.793,151.17,178.61,122.92,183.58
5.848,151.06,171.70,130.94,183.13
5.902,150.98,195.54,106.72,188.42
5.939,150.95,193.15,106.80,188.20
5.986,150.76,176.21,119.29,186.67
6.037,150.68,170.56,125.22,185.88
6.088,150.59,195.05,107.65,190.72
6.149,150.55,192.05,107.76,190.26
6.185,150.51,188.91,107.87,189.74
6.240,150.43,182.66,108.09,188.56
6.287,150.98,192.15,108.44,189.56
6.346,152.68,197.54,108.69,189.13
6.394,150.08,187.43,109.08,186.79
6.435,149.98,181.74,109.35,185.12
6.488,149.89,177.11,109.63,183.29
6.544,149.79,173.75,110.05,181.37
6.612,149.69,181.72,132.06,271.65
6.639,149.59,179.73,136.46,270.51
6.690,149.49,176.23,150.00,253.39
6.738,149.37,171.08,159.05,237.84
6.786,149.29,167.40,163.60,229.75
6.848,149.26,196.41,118.64,207.61
6.892,149.19,192.45,121.87,201.80
6.938,149.16,190.37,123.52,199.03
6.992,149.04,171.56,136.94,193.86
7.064,148.96,177.06,118.59,180.39
7.088,148.90,168.11,126.53,179.97
7.140,148.85,160.38,134.29,179.73
7.187,148.82,157.20,137.86,179.49
7.238,148.76,151.37,144.52,178.79
7.298,148.74,166.46,120.29,172.27
7.345,148.68,163.93,123.17,171.77
7.385,148.63,155.30,132.18,170.01
7.435,148.58,148.19,139.46,169.12
7.503,148.56,144.92,143.02,168.66
7.539,148.56,144.92,143.02,168.66
7.588,148.38,147.35,135.95,162.85
7.639,148.34,141.30,143.74,161.50
7.686,148.24,139.56,155.07,163.87
7.746,148.15,144.20,138.93,159.64
7.817,148.10,139.43,146.48,158.40
7.839,148.08,138.20,149.99,158.38
7.893,148.01,137.63,157.67,159.61
7.939,147.99,151.66,130.25,160.08
7.987,147.94,147.42,136.51,158.51
8.044,147.89,142.70,144.03,156.63
8.091,147.81,137.10,153.33,154.60
8.136,147.78,135.90,155.82,154.26
8.186,147.76,135.71,226.68,211.04
8.244,147.68,135.15,228.38,207.72
8.295,147.65,134.96,226.68,204.98
8.340,147.63,134.78,224.70,202.23
8.410,147.59,134.43,220.58,197.02
8.437,147.53,133.76,191.53,169.98
8.488,147.50,133.28,188.46,167.17
8.540,147.49,133.12,188.45,167.32
8.595,147.47,132.67,189.23,168.32
8.635,147.45,132.23,165.84,155.98
8.688,147.45,132.08,167.35,156.30
8.735,147.43,131.66,172.51,158.22
8.785,147.41,131.11,176.45,159.97
8.835,147.41,130.98,178.39,160.80
8.886,147.40,141.29,156.33,158.34
8.936,147.39,139.76,159.38,158.78
8.986,147.39,138.11,162.30,159.01
9.040,147.38,136.53,164.75,159.07
9.090,147.38,148.76,146.65,161.47
9.144,147.38,148.94,145.67,160.66
9.188,147.37,148.12,146.72,160.53
9.244,147.37,145.28,150.06,160.14
9.295,147.37,142.68,151.86,160.03
9.353,147.36,152.85,139.26,162.71
9.393,147.35,150.21,145.42,162.89
9.439,147.35,150.21,145.42,162.89
9.491,147.34,146.92,154.06,164.03
9.538,147.33,145.89,159.36,165.50
9.586,147.33,158.72,160.59,166.04
9.635,147.32,158.07,145.41,170.89
9.689,147.31,157.32,146.97,170.92
9.737,147.30,156.00,149.86,170.81
9.800,147.30,155.45,151.05,170.73
9.851,147.29,154.96,152.10,170.62
9.900,147.29,154.52,153.00,170.50
9.955,147.26,153.23,155.34,169.83
9.990,147.25,152.94,155.71,169.70
10.040,147.23,152.92,155.73,169.54
10.089,147.23,152.92,155.73,169.54
10.135,156.45,125.32,224.28,158.09
10.188,151.09,124.93,212.92,160.86
10.237,148.12,124.75,205.45,162.55
10.296,147.13,124.57,200.66,163.12
10.342,147.12,127.52,189.63,162.69
10.385,147.12,128.88,191.24,164.54
10.444,147.10,138.91,189.34,170.50
10.489,147.07,148.32,189.44,176.81
10.561,147.07,149.88,189.67,177.91
10.607,148.72,155.95,185.01,180.12
10.635,151.83,156.94,186.34,179.92
10.689,152.63,155.49,186.50,178.35
10.740,152.79,154.53,186.34,177.30
10.789,152.75,152.29,186.03,176.09
10.848,152.47,149.32,181.82,170.01
10.885,152.47,149.32,181.82,170.01
10.937,151.39,145.45,179.49,165.13
10.991,150.68,143.35,177.85,162.08
11.037,150.16,141.95,176.36,159.62
11.090,150.45,140.99,176.52,158.19
11.138,150.31,140.85,174.93,156.68
11.192,150.43,140.85,174.93,156.17
11.240,150.91,142.30,174.10,155.53
11.288,151.69,144.05,173.88,155.86
11.340,152.46,148.04,170.95,157.37
11.388,153.08,149.18,171.12,157.91
11.441,154.94,153.04,171.67,160.00
11.486,156.00,155.86,171.77,161.62
11.542,156.76,158.69,171.45,163.25
11.588,157.44,163.07,168.88,165.42
11.643,157.14,165.01,167.31,166.50
11.690,156.80,165.89,166.30,166.96
11.741,155.77,167.45,163.94,167.71
11.793,154.32,168.83,161.13,168.35
11.840,167.06,162.27,169.37,156.33
11.886,163.34,164.68,165.23,158.27
11.935,163.34,165.47,163.34,158.84
11.986,159.48,167.93,158.24,161.53
12.042,153.38,171.61,150.87,164.41
12.089,152.16,173.13,148.23,166.96
12.137,149.26,174.85,145.59,169.44
12.190,146.62,181.49,140.64,176.38
12.235,146.59,182.70,140.52,177.62
12.292,146.53,184.93,140.86,180.01
12.342,146.44,186.94,142.19,181.62
12.386,146.40,188.07,142.71,183.25
12.439,146.31,190.83,144.11,187.41
12.485,146.24,192.22,145.07,189.75
12.541,146.21,192.71,145.50,190.69
12.587,146.14,193.28,146.21,192.11
12.643,146.11,191.77,146.19,189.33
12.696,146.05,191.50,146.45,189.95
12.735,145.89,188.91,145.81,189.69
12.785,145.86,188.18,145.56,189.23
12.836,145.80,187.44,145.28,188.69
12.912,145.74,183.58,143.58,183.45
12.935,145.71,182.89,143.22,183.06
12.991,145.62,181.05,142.24,182.15
13.043,145.56,180.06,141.94,181.96
13.094,145.53,179.74,141.56,181.75
13.137,145.45,177.66,140.56,178.51
13.204,145.36,177.60,140.54,179.98
13.239,145.30,177.69,140.71,180.53
13.290,145.25,177.72,140.95,181.85
13.341,145.19,173.31,148.46,183.30
13.391,145.11,173.54,147.51,183.27
13.439,145.05,173.12,146.60,182.60
13.497,144.97,171.50,145.05,180.62
13.539,144.91,169.85,143.93,178.72
13.595,144.88,168.90,143.37,177.66
13.635,144.82,166.80,142.26,175.36
13.693,144.70,162.13,140.19,170.60
13.735,144.64,157.75,139.22,163.65
13.792,144.53,156.10,138.50,162.77
13.843,144.50,154.79,138.00,162.64
13.887,144.46,154.32,137.91,162.75
13.938,144.32,153.49,138.44,164.50
13.990,144.24,152.70,138.15,162.03
14.038,144.12,153.65,139.47,166.96
14.092,144.04,154.68,140.62,170.02
14.143,143.99,155.28,141.23,171.53
14.186,143.83,156.49,142.51,173.68
14.235,143.83,156.49,142.51,173.68
14.288,143.70,157.67,143.28,176.71
14.343,143.66,158.23,143.58,178.17
14.392,143.62,159.23,144.02,180.75
14.437,143.46,158.68,144.12,183.73
14.497,143.42,158.92,143.14,180.61
14.538,143.30,159.60,142.06,182.22
14.588,143.26,159.79,141.64,182.59
14.637,143.15,160.39,140.16,183.41
14.691,143.08,158.90,139.26,180.35
14.738,143.01,159.84,138.30,180.90
14.798,142.98,160.37,137.74,181.43
14.843,142.91,161.62,136.70,182.71
14.891,142.88,162.34,136.24,183.43
14.939,142.85,163.09,136.02,184.26
14.996,142.79,164.77,135.99,186.19
15.039,142.73,163.95,135.96,184.27
15.089,142.59,169.01,135.89,190.45
15.149,142.53,170.66,135.86,192.53
15.189,142.51,171.34,135.84,193.41
15.238,142.46,169.96,135.81,191.26
15.286,142.41,170.81,135.78,192.25
15.343,142.34,171.43,135.74,192.96
15.388,142.29,171.31,135.71,192.63
15.440,142.25,170.82,135.69,191.77
15.490,142.16,167.31,135.64,186.54
15.538,142.14,166.95,135.62,185.98
15.585,142.10,166.29,135.60,184.87
15.640,142.06,165.78,135.58,183.84
15.687,142.02,163.56,135.56,180.34
15.738,141.98,163.65,135.54,180.12
15.785,141.93,164.13,135.52,180.35
15.841,141.89,164.91,135.50,180.86
15.886,141.85,165.92,135.48,181.57
15.950,141.83,166.26,135.47,180.00
15.994,141.79,167.40,135.46,181.12
16.039,141.77,167.98,135.45,181.74
16.092,141.73,169.08,135.43,182.81
16.148,141.65,170.73,135.41,184.07
16.189,141.63,170.77,135.40,184.81
16.242,141.59,172.35,135.38,187.53
16.292,141.54,171.80,135.36,185.78
16.353,141.50,170.84,135.35,184.01
